Distance between particles 	 RDF
    0.02	       0
    0.06	       0
     0.1	       0
    0.14	       0
    0.18	       0
    0.22	       0
    0.26	       0
     0.3	       0
    0.34	       0
    0.38	       0
    0.42	       0
    0.46	       0
     0.5	       0
    0.54	       0
    0.58	       0
    0.62	       0
    0.66	       0
     0.7	       0
    0.74	       0
    0.78	       0
    0.82	       0
    0.86	       0
     0.9	       0
    0.94	       0
    0.98	       0
    1.02	       0
    1.06	1.02255e-09
     1.1	7.96945e-10
    1.14	1.46969e-10
    1.18	       0
    1.22	       0
    1.26	       0
     1.3	       0
    1.34	1.58342e-10
    1.38	5.52649e-10
    1.42	3.84012e-10
    1.46	9.24623e-11
     1.5	       0
    1.54	       0
    1.58	       0
    1.62	1.36361e-13
    1.66	1.62336e-13
     1.7	9.28724e-14
    1.74	8.86516e-14
    1.78	1.1295e-13
    1.82	4.32158e-13
    1.86	5.94796e-13
     1.9	7.18717e-13
    1.94	7.60702e-13
    1.98	6.38993e-13
    2.02	7.77289e-11
    2.06	1.64975e-10
     2.1	2.24442e-10
    2.14	3.46848e-10
    2.18	2.32595e-10
    2.22	1.12371e-11
    2.26	1.55199e-11
     2.3	2.40501e-11
    2.34	9.82009e-11
    2.38	1.7038e-10
    2.42	1.7034e-10
    2.46	1.17743e-10
     2.5	8.47167e-11
    2.54	3.20623e-11
    2.58	1.78229e-11
    2.62	3.5048e-11
    2.66	2.1572e-11
     2.7	2.4374e-11
    2.74	3.63356e-11
    2.78	3.83421e-11
    2.82	4.82765e-11
    2.86	1.93933e-11
     2.9	1.03619e-11
    2.94	8.00131e-12
    2.98	6.69986e-12
    3.02	6.74919e-12
    3.06	8.28425e-12
     3.1	9.93386e-12
    3.14	1.22141e-11
    3.18	1.69254e-11
    3.22	2.43513e-11
    3.26	4.34992e-11
     3.3	7.48706e-11
    3.34	1.11834e-10
    3.38	1.1654e-10
    3.42	6.16387e-11
    3.46	1.83849e-11
     3.5	1.11381e-11
    3.54	1.01953e-11
    3.58	1.20211e-11
    3.62	1.41261e-11
    3.66	1.54621e-11
     3.7	2.11226e-11
    3.74	2.98328e-11
    3.78	3.85035e-11
    3.82	4.7818e-11
    3.86	4.93602e-11
     3.9	3.02117e-11
    3.94	1.74807e-11
    3.98	1.51599e-11
    4.02	1.79988e-11
    4.06	1.96e-11
     4.1	2.39723e-11
    4.14	2.92169e-11
    4.18	3.27058e-11
    4.22	3.52689e-11
    4.26	3.72424e-11
     4.3	2.99767e-11
    4.34	1.65445e-11
    4.38	1.39165e-11
    4.42	1.29101e-11
    4.46	1.42494e-11
     4.5	1.5654e-11
    4.54	1.52666e-11
    4.58	1.62849e-11
    4.62	1.66119e-11
    4.66	1.74651e-11
     4.7	1.88419e-11
    4.74	1.91982e-11
    4.78	2.13961e-11
    4.82	2.31375e-11
    4.86	2.58833e-11
     4.9	2.55966e-11
    4.94	2.39079e-11
    4.98	2.00224e-11
    5.02	1.69282e-11
    5.06	1.74059e-11
     5.1	1.66868e-11
    5.14	1.57643e-11
    5.18	1.61686e-11
    5.22	1.62534e-11
    5.26	1.71002e-11
     5.3	1.69354e-11
    5.34	1.67046e-11
    5.38	1.63984e-11
    5.42	1.59471e-11
    5.46	1.69718e-11
     5.5	1.7622e-11
    5.54	1.76542e-11
    5.58	1.74796e-11
    5.62	1.75092e-11
    5.66	1.75503e-11
     5.7	1.83017e-11
    5.74	1.90849e-11
    5.78	1.97054e-11
    5.82	1.93034e-11
    5.86	1.91658e-11
     5.9	1.90431e-11
    5.94	2.00224e-11
    5.98	1.98605e-11
    6.02	1.99999e-11
    6.06	2.05919e-11
     6.1	2.16452e-11
    6.14	2.1262e-11
    6.18	2.15101e-11
    6.22	2.07302e-11
    6.26	2.09045e-11
     6.3	2.0349e-11
    6.34	2.05383e-11
    6.38	2.01387e-11
    6.42	2.07177e-11
    6.46	2.10837e-11
     6.5	2.07297e-11
    6.54	2.04832e-11
    6.58	2.03444e-11
    6.62	2.0573e-11
    6.66	2.13271e-11
     6.7	2.09616e-11
    6.74	2.13024e-11
    6.78	2.16766e-11
    6.82	2.22579e-11
    6.86	2.25714e-11
     6.9	2.32162e-11
    6.94	2.22119e-11
    6.98	2.19764e-11
    7.02	2.2462e-11
    7.06	2.10575e-11
     7.1	2.16214e-11
    7.14	2.1106e-11
    7.18	2.13054e-11
    7.22	2.1451e-11
    7.26	2.20573e-11
     7.3	2.20546e-11
    7.34	2.21354e-11
    7.38	2.24366e-11
    7.42	2.23107e-11
    7.46	2.11589e-11
     7.5	2.16432e-11
    7.54	2.18753e-11
    7.58	2.20032e-11
    7.62	2.21133e-11
    7.66	2.23298e-11
     7.7	2.22855e-11
    7.74	2.17093e-11
    7.78	2.2069e-11
    7.82	2.16156e-11
    7.86	2.24577e-11
     7.9	2.17262e-11
    7.94	2.22856e-11
    7.98	2.28369e-11
    8.02	2.28475e-11
    8.06	2.25703e-11
     8.1	2.22934e-11
    8.14	2.20006e-11
    8.18	2.25348e-11
    8.22	2.19439e-11
    8.26	2.16532e-11
     8.3	2.20112e-11
    8.34	2.17466e-11
    8.38	2.19e-11
    8.42	2.18654e-11
    8.46	2.24404e-11
     8.5	2.20254e-11
    8.54	2.17766e-11
    8.58	2.18329e-11
    8.62	2.20726e-11
    8.66	2.21209e-11
     8.7	2.20716e-11
    8.74	2.1965e-11
    8.78	2.19208e-11
    8.82	2.1727e-11
    8.86	2.17706e-11
     8.9	2.15562e-11
    8.94	2.1994e-11
    8.98	2.20869e-11
    9.02	2.22027e-11
    9.06	2.23744e-11
     9.1	2.15526e-11
    9.14	2.15989e-11
    9.18	2.27297e-11
    9.22	2.18835e-11
    9.26	2.19317e-11
     9.3	2.24697e-11
    9.34	2.2652e-11
    9.38	2.29788e-11
    9.42	2.24181e-11
    9.46	2.14821e-11
     9.5	2.21502e-11
    9.54	2.19048e-11
    9.58	2.15683e-11
    9.62	2.16145e-11
    9.66	2.11972e-11
     9.7	2.11187e-11
    9.74	2.24527e-11
    9.78	2.22816e-11
    9.82	2.23157e-11
    9.86	2.24065e-11
     9.9	2.16744e-11
    9.94	2.20636e-11
    9.98	2.1747e-11
   10.02	2.19907e-11
   10.06	2.25464e-11
    10.1	2.20516e-11
   10.14	2.20772e-11
   10.18	2.2972e-11
   10.22	2.28183e-11
   10.26	2.26755e-11
    10.3	2.25208e-11
   10.34	2.25243e-11
   10.38	2.23469e-11
   10.42	2.28769e-11
   10.46	2.23221e-11
    10.5	2.18188e-11
   10.54	2.20481e-11
   10.58	2.22966e-11
   10.62	2.214e-11
   10.66	2.21442e-11
    10.7	2.14898e-11
   10.74	2.16232e-11
   10.78	2.24662e-11
   10.82	2.18495e-11
   10.86	2.16365e-11
    10.9	2.21392e-11
   10.94	2.1553e-11
   10.98	2.18393e-11
   11.02	2.17282e-11
   11.06	2.18888e-11
    11.1	2.16972e-11
   11.14	2.16317e-11
   11.18	2.13319e-11
   11.22	2.19086e-11
   11.26	2.21138e-11
    11.3	2.13984e-11
   11.34	2.15322e-11
   11.38	2.14889e-11
   11.42	2.12961e-11
   11.46	2.12805e-11
    11.5	2.14988e-11
   11.54	2.12929e-11
   11.58	2.12688e-11
   11.62	2.12717e-11
   11.66	2.15367e-11
    11.7	2.1572e-11
   11.74	2.15304e-11
   11.78	2.18983e-11
   11.82	2.18355e-11
   11.86	2.18564e-11
    11.9	2.18355e-11
   11.94	2.21457e-11
   11.98	2.16664e-11
   12.02	2.13212e-11
   12.06	2.14949e-11
    12.1	2.13249e-11
   12.14	2.12417e-11
   12.18	2.12273e-11
   12.22	2.12377e-11
   12.26	2.13214e-11
    12.3	2.11392e-11
   12.34	2.17438e-11
   12.38	2.22515e-11
   12.42	2.24976e-11
   12.46	2.22024e-11
    12.5	2.16494e-11
   12.54	2.16612e-11
   12.58	2.14241e-11
   12.62	2.1688e-11
   12.66	2.1521e-11
    12.7	2.17573e-11
   12.74	2.14384e-11
   12.78	2.18249e-11
   12.82	2.17106e-11
   12.86	2.18322e-11
    12.9	2.15245e-11
   12.94	2.15209e-11
   12.98	2.14549e-11
   13.02	2.12683e-11
   13.06	2.09463e-11
    13.1	2.1233e-11
   13.14	2.09832e-11
   13.18	2.12459e-11
   13.22	2.15916e-11
   13.26	2.14605e-11
    13.3	2.14925e-11
   13.34	2.13904e-11
   13.38	2.12298e-11
   13.42	2.10741e-11
   13.46	2.09638e-11
    13.5	2.08555e-11
   13.54	2.06075e-11
   13.58	2.16356e-11
   13.62	2.1201e-11
   13.66	2.11629e-11
    13.7	2.0599e-11
   13.74	2.10257e-11
   13.78	2.08077e-11
   13.82	2.09057e-11
   13.86	2.1379e-11
    13.9	2.13585e-11
   13.94	2.14534e-11
   13.98	2.15007e-11
   14.02	2.12393e-11
   14.06	2.07014e-11
    14.1	2.09211e-11
   14.14	2.09721e-11
   14.18	2.10831e-11
   14.22	2.07779e-11
   14.26	2.11952e-11
    14.3	2.09609e-11
   14.34	2.0929e-11
   14.38	2.10096e-11
   14.42	2.10954e-11
   14.46	2.08548e-11
    14.5	2.09033e-11
   14.54	2.11295e-11
   14.58	2.11358e-11
   14.62	2.06913e-11
   14.66	2.05735e-11
    14.7	2.10704e-11
   14.74	2.11114e-11
   14.78	2.1386e-11
   14.82	2.1632e-11
   14.86	2.15858e-11
    14.9	2.14854e-11
   14.94	2.14775e-11
   14.98	2.13502e-11
   15.02	2.16412e-11
   15.06	2.12881e-11
    15.1	2.15557e-11
   15.14	2.16832e-11
   15.18	2.16366e-11
   15.22	2.10654e-11
   15.26	2.11575e-11
    15.3	2.14801e-11
   15.34	2.1477e-11
   15.38	2.20182e-11
   15.42	2.18616e-11
   15.46	2.14687e-11
    15.5	2.18853e-11
   15.54	2.19692e-11
   15.58	2.15609e-11
   15.62	2.15482e-11
   15.66	2.17691e-11
    15.7	2.16391e-11
   15.74	2.15181e-11
   15.78	2.15345e-11
   15.82	2.12388e-11
   15.86	2.11403e-11
    15.9	2.13427e-11
   15.94	2.12653e-11
   15.98	2.14505e-11
   16.02	2.15251e-11
   16.06	2.1519e-11
    16.1	2.20111e-11
   16.14	2.19103e-11
   16.18	2.17912e-11
   16.22	2.1811e-11
   16.26	2.19127e-11
    16.3	2.17231e-11
   16.34	2.17311e-11
   16.38	2.19122e-11
   16.42	2.20525e-11
   16.46	2.18807e-11
    16.5	2.17518e-11
   16.54	2.16735e-11
   16.58	2.17581e-11
   16.62	2.22009e-11
   16.66	2.19333e-11
    16.7	2.21299e-11
   16.74	2.2189e-11
   16.78	2.20672e-11
   16.82	2.20667e-11
   16.86	2.17814e-11
    16.9	2.16008e-11
   16.94	2.17315e-11
   16.98	2.19271e-11
   17.02	2.22322e-11
   17.06	2.20856e-11
    17.1	2.19484e-11
   17.14	2.21208e-11
   17.18	2.23384e-11
   17.22	2.22072e-11
   17.26	2.25465e-11
    17.3	2.21389e-11
   17.34	2.18173e-11
   17.38	2.17146e-11
   17.42	2.20658e-11
   17.46	2.21098e-11
    17.5	2.1748e-11
   17.54	2.19944e-11
   17.58	2.17992e-11
   17.62	2.17179e-11
   17.66	2.19989e-11
    17.7	2.2108e-11
   17.74	2.19482e-11
   17.78	2.18858e-11
   17.82	2.16501e-11
   17.86	2.16167e-11
    17.9	2.19242e-11
   17.94	2.18616e-11
   17.98	2.18079e-11
   18.02	2.18225e-11
   18.06	2.13795e-11
    18.1	2.12589e-11
   18.14	2.17321e-11
   18.18	2.20215e-11
   18.22	2.19772e-11
   18.26	2.20882e-11
    18.3	2.17767e-11
   18.34	2.15754e-11
   18.38	2.16808e-11
   18.42	2.16336e-11
   18.46	2.18367e-11
    18.5	2.18325e-11
   18.54	2.19683e-11
   18.58	2.17038e-11
   18.62	2.16207e-11
   18.66	2.16992e-11
    18.7	2.1956e-11
   18.74	2.20173e-11
   18.78	2.20892e-11
   18.82	2.1591e-11
   18.86	2.16331e-11
    18.9	2.16956e-11
   18.94	2.20087e-11
   18.98	2.18586e-11
   19.02	2.17084e-11
   19.06	2.13888e-11
    19.1	2.14494e-11
   19.14	2.15198e-11
   19.18	2.12821e-11
   19.22	2.12125e-11
   19.26	2.15318e-11
    19.3	2.152e-11
   19.34	2.16899e-11
   19.38	2.15623e-11
   19.42	2.16231e-11
   19.46	2.15279e-11
    19.5	2.14187e-11
   19.54	2.14797e-11
   19.58	2.11082e-11
   19.62	2.09079e-11
   19.66	2.1368e-11
    19.7	2.13879e-11
   19.74	2.12221e-11
   19.78	2.11242e-11
   19.82	2.09329e-11
   19.86	2.10031e-11
    19.9	2.09547e-11
   19.94	2.10584e-11
   19.98	2.08986e-11
   20.02	2.08987e-11
   20.06	2.09375e-11
    20.1	2.04344e-11
   20.14	2.05875e-11
   20.18	2.06609e-11
   20.22	2.0577e-11
   20.26	2.08651e-11
    20.3	2.07317e-11
   20.34	2.06773e-11
   20.38	2.05264e-11
   20.42	2.04328e-11
   20.46	2.00783e-11
    20.5	2.01263e-11
   20.54	1.98255e-11
   20.58	1.96847e-11
   20.62	1.95962e-11
   20.66	1.94032e-11
    20.7	1.92667e-11
   20.74	1.89965e-11
   20.78	1.90666e-11
   20.82	1.89728e-11
   20.86	1.86709e-11
    20.9	1.84907e-11
   20.94	1.85281e-11
   20.98	1.88478e-11
   21.02	1.85479e-11
   21.06	1.8168e-11
    21.1	1.82735e-11
   21.14	1.79833e-11
   21.18	1.78034e-11
   21.22	1.77906e-11
   21.26	1.78003e-11
    21.3	1.75755e-11
   21.34	1.73201e-11
   21.38	1.72904e-11
   21.42	1.72762e-11
   21.46	1.71241e-11
    21.5	1.69967e-11
   21.54	1.66745e-11
   21.58	1.66377e-11
   21.62	1.68051e-11
   21.66	1.64708e-11
    21.7	1.64891e-11
   21.74	1.60929e-11
   21.78	1.61289e-11
   21.82	1.61123e-11
   21.86	1.60067e-11
    21.9	1.56941e-11
   21.94	1.56731e-11
   21.98	1.5545e-11
   22.02	1.55296e-11
   22.06	1.55321e-11
    22.1	1.52995e-11
   22.14	1.52708e-11
   22.18	1.49273e-11
   22.22	1.4934e-11
   22.26	1.5056e-11
    22.3	1.5112e-11
   22.34	1.49328e-11
   22.38	1.46864e-11
   22.42	1.4626e-11
   22.46	1.48013e-11
    22.5	1.47001e-11
   22.54	1.45221e-11
   22.58	1.4453e-11
   22.62	1.40854e-11
   22.66	1.40695e-11
    22.7	1.38069e-11
   22.74	1.3558e-11
   22.78	1.34167e-11
   22.82	1.35382e-11
   22.86	1.35279e-11
    22.9	1.331e-11
   22.94	1.30428e-11
   22.98	1.30501e-11
   23.02	1.32409e-11
   23.06	1.31228e-11
    23.1	1.28064e-11
   23.14	1.28618e-11
   23.18	1.28043e-11
   23.22	1.28476e-11
   23.26	1.27286e-11
    23.3	1.26795e-11
   23.34	1.25424e-11
   23.38	1.23588e-11
   23.42	1.24058e-11
   23.46	1.24973e-11
    23.5	1.22261e-11
   23.54	1.21437e-11
   23.58	1.20303e-11
   23.62	1.17599e-11
   23.66	1.16692e-11
    23.7	1.15359e-11
   23.74	1.12502e-11
   23.78	1.1144e-11
   23.82	1.11844e-11
   23.86	1.08671e-11
    23.9	1.09451e-11
   23.94	1.09657e-11
   23.98	1.07677e-11
   24.02	1.07061e-11
   24.06	1.06035e-11
    24.1	1.05569e-11
   24.14	1.07347e-11
   24.18	1.06402e-11
   24.22	1.05293e-11
   24.26	1.03676e-11
    24.3	1.02808e-11
   24.34	1.01593e-11
   24.38	1.02131e-11
   24.42	1.01189e-11
   24.46	1.00512e-11
    24.5	9.93879e-12
   24.54	9.95277e-12
   24.58	9.70716e-12
   24.62	9.58176e-12
   24.66	9.54747e-12
    24.7	9.39617e-12
   24.74	9.19756e-12
   24.78	9.17619e-12
   24.82	9.07039e-12
   24.86	9.0321e-12
    24.9	8.87439e-12
   24.94	8.87687e-12
   24.98	8.77333e-12
   25.02	8.61781e-12
   25.06	8.67367e-12
    25.1	8.60571e-12
   25.14	8.58585e-12
   25.18	8.5775e-12
   25.22	8.4043e-12
   25.26	8.24211e-12
    25.3	8.27408e-12
   25.34	8.19015e-12
   25.38	7.98393e-12
   25.42	7.82493e-12
   25.46	7.93756e-12
    25.5	7.80948e-12
   25.54	7.748e-12
   25.58	7.6706e-12
   25.62	7.47874e-12
   25.66	7.36575e-12
    25.7	7.20305e-12
   25.74	7.10505e-12
   25.78	7.0837e-12
   25.82	7.03694e-12
   25.86	6.96073e-12
    25.9	6.96259e-12
   25.94	6.82266e-12
   25.98	6.71298e-12
   26.02	6.63369e-12
   26.06	6.50649e-12
    26.1	6.44073e-12
   26.14	6.40008e-12
   26.18	6.27989e-12
   26.22	6.31488e-12
   26.26	6.23779e-12
    26.3	6.07616e-12
   26.34	6.00794e-12
   26.38	5.96544e-12
   26.42	5.85625e-12
   26.46	5.77172e-12
    26.5	5.58333e-12
   26.54	5.64921e-12
   26.58	5.58967e-12
   26.62	5.42086e-12
   26.66	5.27168e-12
    26.7	5.23343e-12
   26.74	5.24731e-12
   26.78	5.1301e-12
   26.82	4.9189e-12
   26.86	4.95858e-12
    26.9	4.93816e-12
   26.94	4.75301e-12
   26.98	4.6653e-12
   27.02	4.60456e-12
   27.06	4.52473e-12
    27.1	4.42343e-12
   27.14	4.4602e-12
   27.18	4.44672e-12
   27.22	4.39067e-12
   27.26	4.33108e-12
    27.3	4.23808e-12
   27.34	4.18751e-12
   27.38	4.06106e-12
   27.42	4.00317e-12
   27.46	3.93492e-12
    27.5	3.93649e-12
   27.54	3.77879e-12
   27.58	3.63528e-12
   27.62	3.54782e-12
   27.66	3.58668e-12
    27.7	3.5024e-12
   27.74	3.51684e-12
   27.78	3.45768e-12
   27.82	3.37942e-12
   27.86	3.28926e-12
    27.9	3.23064e-12
   27.94	3.08513e-12
   27.98	2.98443e-12
   28.02	3.01352e-12
   28.06	2.8813e-12
    28.1	2.79594e-12
   28.14	2.89466e-12
   28.18	2.77051e-12
   28.22	2.69817e-12
   28.26	2.70219e-12
    28.3	2.57581e-12
   28.34	2.50248e-12
   28.38	2.48066e-12
   28.42	2.40112e-12
   28.46	2.32832e-12
    28.5	2.33578e-12
   28.54	2.27146e-12
   28.58	2.20453e-12
   28.62	2.16681e-12
   28.66	2.18451e-12
    28.7	2.07751e-12
   28.74	2.01909e-12
   28.78	2.02569e-12
   28.82	1.97806e-12
   28.86	1.95969e-12
    28.9	1.81854e-12
   28.94	1.84321e-12
   28.98	1.86956e-12
   29.02	1.75349e-12
   29.06	1.70989e-12
    29.1	1.69167e-12
   29.14	1.77543e-12
   29.18	1.7713e-12
   29.22	1.67393e-12
   29.26	1.58585e-12
    29.3	1.55985e-12
   29.34	1.5689e-12
   29.38	1.57324e-12
   29.42	1.48037e-12
   29.46	1.4879e-12
    29.5	1.43586e-12
   29.54	1.41864e-12
   29.58	1.36869e-12
   29.62	1.33063e-12
   29.66	1.3123e-12
    29.7	1.26292e-12
   29.74	1.28886e-12
   29.78	1.26209e-12
   29.82	1.20931e-12
   29.86	1.14024e-12
    29.9	1.10987e-12
   29.94	1.03814e-12
   29.98	1.03786e-12
   30.02	1.05138e-12
   30.06	1.03957e-12
    30.1	1.04036e-12
   30.14	1.00687e-12
   30.18	9.53814e-13
   30.22	9.38947e-13
   30.26	9.44185e-13
    30.3	8.91993e-13
   30.34	8.67093e-13
   30.38	8.67137e-13
   30.42	8.38366e-13
   30.46	8.40988e-13
    30.5	7.84634e-13
   30.54	7.72987e-13
   30.58	7.42072e-13
   30.62	7.43665e-13
   30.66	7.28687e-13
    30.7	7.08277e-13
   30.74	6.78314e-13
   30.78	6.60687e-13
   30.82	6.57654e-13
   30.86	6.51159e-13
    30.9	6.24361e-13
   30.94	5.54333e-13
   30.98	5.14867e-13
   31.02	4.90481e-13
   31.06	5.18525e-13
    31.1	5.06832e-13
   31.14	4.86892e-13
   31.18	4.78097e-13
   31.22	4.58698e-13
   31.26	4.41044e-13
    31.3	4.72977e-13
   31.34	4.64028e-13
   31.38	4.35315e-13
   31.42	4.24328e-13
   31.46	4.09057e-13
    31.5	3.82591e-13
   31.54	3.49422e-13
   31.58	3.34004e-13
   31.62	3.31817e-13
   31.66	3.23839e-13
    31.7	3.14563e-13
   31.74	3.25139e-13
   31.78	3.04477e-13
   31.82	2.91076e-13
   31.86	2.78534e-13
    31.9	2.79858e-13
   31.94	2.80473e-13
   31.98	2.74873e-13
   32.02	2.49491e-13
   32.06	2.42775e-13
    32.1	2.26541e-13
   32.14	2.1593e-13
   32.18	2.02348e-13
   32.22	1.89952e-13
   32.26	1.84839e-13
    32.3	1.8421e-13
   32.34	1.93335e-13
   32.38	1.84581e-13
   32.42	1.57141e-13
   32.46	1.44186e-13
    32.5	1.2562e-13
   32.54	1.32662e-13
   32.58	1.41946e-13
   32.62	1.40169e-13
   32.66	1.17094e-13
    32.7	1.01914e-13
   32.74	1.03752e-13
   32.78	1.03166e-13
   32.82	9.52729e-14
   32.86	9.11466e-14
    32.9	8.1006e-14
   32.94	9.05395e-14
   32.98	7.14828e-14
   33.02	7.27047e-14
   33.06	8.48081e-14
    33.1	7.14554e-14
   33.14	5.73523e-14
   33.18	5.06312e-14
   33.22	5.62657e-14
   33.26	4.73954e-14
    33.3	4.58293e-14
   33.34	4.26607e-14
   33.38	3.84633e-14
   33.42	3.50067e-14
   33.46	2.85298e-14
    33.5	2.18446e-14
   33.54	2.37809e-14
   33.58	2.60253e-14
   33.62	1.86018e-14
   33.66	1.53199e-14
    33.7	1.29989e-14
   33.74	2.00416e-14
   33.78	1.50545e-14
   33.82	8.76101e-15
   33.86	8.19405e-15
    33.9	1.08996e-14
   33.94	8.93218e-15
   33.98	6.27656e-15
   34.02	5.17952e-15
   34.06	5.01311e-15
    34.1	4.30886e-15
   34.14	4.91288e-15
   34.18	5.43748e-15
   34.22	4.58431e-15
   34.26	4.42116e-15
    34.3	1.06469e-15
   34.34	1.51744e-15
   34.38	1.96809e-15
   34.42	1.20832e-15
   34.46	9.79481e-16
    34.5	3.7585e-16
   34.54	7.49961e-17
   34.58	2.24468e-16
   34.62	       0
   34.66	       0
    34.7	       0
   34.74	       0
   34.78	       0
   34.82	       0
   34.86	       0
    34.9	       0
   34.94	       0
   34.98	       0
   35.02	       0
   35.06	       0
    35.1	       0
   35.14	       0
   35.18	       0
   35.22	       0
   35.26	       0
    35.3	       0
   35.34	       0
   35.38	       0
   35.42	       0
   35.46	       0
    35.5	       0
   35.54	       0
   35.58	       0
   35.62	       0
   35.66	       0
    35.7	       0
   35.74	       0
   35.78	       0
   35.82	       0
   35.86	       0
    35.9	       0
   35.94	       0
   35.98	       0
   36.02	       0
   36.06	       0
    36.1	       0
   36.14	       0
   36.18	       0
   36.22	       0
   36.26	       0
    36.3	       0
   36.34	       0
   36.38	       0
   36.42	       0
   36.46	       0
    36.5	       0
   36.54	       0
   36.58	       0
   36.62	       0
   36.66	       0
    36.7	       0
   36.74	       0
   36.78	       0
   36.82	       0
   36.86	       0
    36.9	       0
   36.94	       0
   36.98	       0
   37.02	       0
   37.06	       0
    37.1	       0
   37.14	       0
   37.18	       0
   37.22	       0
   37.26	       0
    37.3	       0
   37.34	       0
   37.38	       0
   37.42	       0
   37.46	       0
    37.5	       0
   37.54	       0
   37.58	       0
   37.62	       0
   37.66	       0
    37.7	       0
   37.74	       0
   37.78	       0
   37.82	       0
   37.86	       0
    37.9	       0
   37.94	       0
   37.98	       0
   38.02	       0
   38.06	       0
    38.1	       0
   38.14	       0
   38.18	       0
   38.22	       0
   38.26	       0
    38.3	       0
   38.34	       0
   38.38	       0
   38.42	       0
   38.46	       0
    38.5	       0
   38.54	       0
   38.58	       0
   38.62	       0
   38.66	       0
    38.7	       0
   38.74	       0
   38.78	       0
   38.82	       0
   38.86	       0
    38.9	       0
   38.94	       0
   38.98	       0
   39.02	       0
   39.06	       0
    39.1	       0
   39.14	       0
   39.18	       0
   39.22	       0
   39.26	       0
    39.3	       0
   39.34	       0
   39.38	       0
   39.42	       0
   39.46	       0
    39.5	       0
   39.54	       0
   39.58	       0
   39.62	       0
   39.66	       0
    39.7	       0
   39.74	       0
   39.78	       0
   39.82	       0
   39.86	       0
    39.9	       0
   39.94	       0
   39.98	       0
