Distance between particles 	 RDF
    0.02	       0
    0.06	       0
     0.1	       0
    0.14	       0
    0.18	       0
    0.22	       0
    0.26	       0
     0.3	       0
    0.34	       0
    0.38	       0
    0.42	       0
    0.46	       0
     0.5	       0
    0.54	       0
    0.58	       0
    0.62	       0
    0.66	       0
     0.7	       0
    0.74	       0
    0.78	       0
    0.82	       0
    0.86	       0
     0.9	       0
    0.94	       0
    0.98	       0
    1.02	       0
    1.06	8.60316e-10
     1.1	8.81277e-10
    1.14	2.08721e-10
    1.18	       0
    1.22	       0
    1.26	       0
     1.3	       0
    1.34	9.35605e-11
    1.38	3.806e-10
    1.42	5.08011e-10
    1.46	1.83447e-10
     1.5	       0
    1.54	       0
    1.58	       0
    1.62	2.96633e-13
    1.66	3.12681e-13
     1.7	2.9291e-13
    1.74	2.52138e-13
    1.78	3.98375e-13
    1.82	2.71532e-13
    1.86	3.71399e-13
     1.9	4.12455e-13
    1.94	4.03656e-13
    1.98	3.64377e-13
    2.02	1.02356e-10
    2.06	2.20232e-10
     2.1	2.46819e-10
    2.14	3.08181e-10
    2.18	1.8826e-10
    2.22	1.54604e-11
    2.26	1.96696e-11
     2.3	2.45037e-11
    2.34	6.83774e-11
    2.38	1.18406e-10
    2.42	1.40569e-10
    2.46	1.25739e-10
     2.5	8.50001e-11
    2.54	1.73552e-11
    2.58	9.02265e-12
    2.62	5.08329e-11
    2.66	3.73665e-11
     2.7	3.49467e-11
    2.74	3.20099e-11
    2.78	2.65848e-11
    2.82	8.07263e-11
    2.86	3.44559e-11
     2.9	1.50816e-11
    2.94	1.03902e-11
    2.98	1.05948e-11
    3.02	1.24301e-11
    3.06	1.59068e-11
     3.1	1.99955e-11
    3.14	2.67743e-11
    3.18	3.45069e-11
    3.22	4.34765e-11
    3.26	5.65271e-11
     3.3	7.36675e-11
    3.34	8.55985e-11
    3.38	8.04022e-11
    3.42	4.98367e-11
    3.46	2.20275e-11
     3.5	1.53741e-11
    3.54	1.62729e-11
    3.58	1.83923e-11
    3.62	2.04573e-11
    3.66	2.41339e-11
     3.7	2.81422e-11
    3.74	3.27331e-11
    3.78	3.56062e-11
    3.82	3.73554e-11
    3.86	3.89786e-11
     3.9	2.81008e-11
    3.94	1.96229e-11
    3.98	1.87471e-11
    4.02	2.07776e-11
    4.06	2.39216e-11
     4.1	2.68362e-11
    4.14	2.91892e-11
    4.18	2.98263e-11
    4.22	2.86316e-11
    4.26	2.64788e-11
     4.3	2.1614e-11
    4.34	1.53912e-11
    4.38	1.44152e-11
    4.42	1.50643e-11
    4.46	1.55974e-11
     4.5	1.62739e-11
    4.54	1.68949e-11
    4.58	1.71243e-11
    4.62	1.74148e-11
    4.66	1.78167e-11
     4.7	1.87859e-11
    4.74	1.98589e-11
    4.78	1.99867e-11
    4.82	2.01831e-11
    4.86	1.95089e-11
     4.9	1.95918e-11
    4.94	1.95242e-11
    4.98	1.7865e-11
    5.02	1.68679e-11
    5.06	1.66929e-11
     5.1	1.704e-11
    5.14	1.67524e-11
    5.18	1.72096e-11
    5.22	1.73502e-11
    5.26	1.70578e-11
     5.3	1.68406e-11
    5.34	1.67647e-11
    5.38	1.66537e-11
    5.42	1.68851e-11
    5.46	1.73556e-11
     5.5	1.765e-11
    5.54	1.83691e-11
    5.58	1.85924e-11
    5.62	1.83931e-11
    5.66	1.88461e-11
     5.7	1.9259e-11
    5.74	1.9424e-11
    5.78	2.01787e-11
    5.82	2.02312e-11
    5.86	2.04624e-11
     5.9	2.05895e-11
    5.94	2.00694e-11
    5.98	1.96777e-11
    6.02	1.99946e-11
    6.06	2.05908e-11
     6.1	2.04677e-11
    6.14	2.05004e-11
    6.18	2.07994e-11
    6.22	2.06437e-11
    6.26	2.03408e-11
     6.3	2.03941e-11
    6.34	2.0077e-11
    6.38	1.97911e-11
    6.42	1.98725e-11
    6.46	2.00752e-11
     6.5	2.04001e-11
    6.54	2.03989e-11
    6.58	2.03426e-11
    6.62	2.10135e-11
    6.66	2.10615e-11
     6.7	2.14703e-11
    6.74	2.17809e-11
    6.78	2.19252e-11
    6.82	2.19465e-11
    6.86	2.21119e-11
     6.9	2.19505e-11
    6.94	2.21203e-11
    6.98	2.25621e-11
    7.02	2.19204e-11
    7.06	2.18621e-11
     7.1	2.17786e-11
    7.14	2.16491e-11
    7.18	2.18785e-11
    7.22	2.15638e-11
    7.26	2.17841e-11
     7.3	2.14103e-11
    7.34	2.19774e-11
    7.38	2.21881e-11
    7.42	2.17355e-11
    7.46	2.20785e-11
     7.5	2.23819e-11
    7.54	2.2222e-11
    7.58	2.20206e-11
    7.62	2.22023e-11
    7.66	2.27105e-11
     7.7	2.23286e-11
    7.74	2.22891e-11
    7.78	2.26883e-11
    7.82	2.20743e-11
    7.86	2.26712e-11
     7.9	2.28688e-11
    7.94	2.28945e-11
    7.98	2.23641e-11
    8.02	2.20377e-11
    8.06	2.25614e-11
     8.1	2.21727e-11
    8.14	2.1557e-11
    8.18	2.23169e-11
    8.22	2.20775e-11
    8.26	2.1729e-11
     8.3	2.1313e-11
    8.34	2.16362e-11
    8.38	2.15425e-11
    8.42	2.14245e-11
    8.46	2.13863e-11
     8.5	2.14234e-11
    8.54	2.14458e-11
    8.58	2.15488e-11
    8.62	2.15825e-11
    8.66	2.22268e-11
     8.7	2.20039e-11
    8.74	2.17884e-11
    8.78	2.19073e-11
    8.82	2.19325e-11
    8.86	2.1647e-11
     8.9	2.19196e-11
    8.94	2.19328e-11
    8.98	2.23435e-11
    9.02	2.25878e-11
    9.06	2.21983e-11
     9.1	2.26383e-11
    9.14	2.2551e-11
    9.18	2.22613e-11
    9.22	2.25444e-11
    9.26	2.26079e-11
     9.3	2.24198e-11
    9.34	2.17856e-11
    9.38	2.19318e-11
    9.42	2.16978e-11
    9.46	2.18118e-11
     9.5	2.1881e-11
    9.54	2.21357e-11
    9.58	2.24173e-11
    9.62	2.22325e-11
    9.66	2.19017e-11
     9.7	2.17682e-11
    9.74	2.17054e-11
    9.78	2.14901e-11
    9.82	2.16927e-11
    9.86	2.2061e-11
     9.9	2.19002e-11
    9.94	2.17425e-11
    9.98	2.19857e-11
   10.02	2.28049e-11
   10.06	2.26834e-11
    10.1	2.20335e-11
   10.14	2.22185e-11
   10.18	2.2154e-11
   10.22	2.19629e-11
   10.26	2.20397e-11
    10.3	2.21771e-11
   10.34	2.21872e-11
   10.38	2.19623e-11
   10.42	2.2008e-11
   10.46	2.18611e-11
    10.5	2.15554e-11
   10.54	2.1743e-11
   10.58	2.18271e-11
   10.62	2.15573e-11
   10.66	2.14954e-11
    10.7	2.14104e-11
   10.74	2.18197e-11
   10.78	2.20889e-11
   10.82	2.22643e-11
   10.86	2.19452e-11
    10.9	2.19944e-11
   10.94	2.19039e-11
   10.98	2.19936e-11
   11.02	2.18715e-11
   11.06	2.20603e-11
    11.1	2.19019e-11
   11.14	2.15577e-11
   11.18	2.1858e-11
   11.22	2.17125e-11
   11.26	2.19001e-11
    11.3	2.18838e-11
   11.34	2.19185e-11
   11.38	2.16991e-11
   11.42	2.18321e-11
   11.46	2.1809e-11
    11.5	2.15291e-11
   11.54	2.16077e-11
   11.58	2.12789e-11
   11.62	2.15166e-11
   11.66	2.16839e-11
    11.7	2.17064e-11
   11.74	2.14665e-11
   11.78	2.15936e-11
   11.82	2.14896e-11
   11.86	2.17838e-11
    11.9	2.16857e-11
   11.94	2.17328e-11
   11.98	2.19499e-11
   12.02	2.17545e-11
   12.06	2.14113e-11
    12.1	2.14344e-11
   12.14	2.13467e-11
   12.18	2.15949e-11
   12.22	2.18081e-11
   12.26	2.20454e-11
    12.3	2.18231e-11
   12.34	2.18282e-11
   12.38	2.17664e-11
   12.42	2.20494e-11
   12.46	2.19171e-11
    12.5	2.16485e-11
   12.54	2.15919e-11
   12.58	2.1433e-11
   12.62	2.15854e-11
   12.66	2.18877e-11
    12.7	2.16941e-11
   12.74	2.15435e-11
   12.78	2.16545e-11
   12.82	2.15183e-11
   12.86	2.14672e-11
    12.9	2.16393e-11
   12.94	2.14205e-11
   12.98	2.12415e-11
   13.02	2.10983e-11
   13.06	2.12148e-11
    13.1	2.12458e-11
   13.14	2.13893e-11
   13.18	2.13784e-11
   13.22	2.14119e-11
   13.26	2.14685e-11
    13.3	2.15008e-11
   13.34	2.12797e-11
   13.38	2.10848e-11
   13.42	2.10597e-11
   13.46	2.11857e-11
    13.5	2.10761e-11
   13.54	2.12148e-11
   13.58	2.12598e-11
   13.62	2.11527e-11
   13.66	2.12738e-11
    13.7	2.11612e-11
   13.74	2.12362e-11
   13.78	2.10427e-11
   13.82	2.11085e-11
   13.86	2.11387e-11
    13.9	2.13297e-11
   13.94	2.14513e-11
   13.98	2.13259e-11
   14.02	2.11552e-11
   14.06	2.10675e-11
    14.1	2.11815e-11
   14.14	2.12796e-11
   14.18	2.11639e-11
   14.22	2.11792e-11
   14.26	2.10543e-11
    14.3	2.10979e-11
   14.34	2.12295e-11
   14.38	2.12281e-11
   14.42	2.15866e-11
   14.46	2.16712e-11
    14.5	2.15789e-11
   14.54	2.14009e-11
   14.58	2.13341e-11
   14.62	2.12592e-11
   14.66	2.10504e-11
    14.7	2.09572e-11
   14.74	2.12121e-11
   14.78	2.10473e-11
   14.82	2.11801e-11
   14.86	2.08843e-11
    14.9	2.08821e-11
   14.94	2.11371e-11
   14.98	2.11877e-11
   15.02	2.12046e-11
   15.06	2.11772e-11
    15.1	2.12677e-11
   15.14	2.13386e-11
   15.18	2.14076e-11
   15.22	2.12818e-11
   15.26	2.13988e-11
    15.3	2.13452e-11
   15.34	2.14125e-11
   15.38	2.15103e-11
   15.42	2.17756e-11
   15.46	2.18264e-11
    15.5	2.18364e-11
   15.54	2.16067e-11
   15.58	2.14301e-11
   15.62	2.11985e-11
   15.66	2.10654e-11
    15.7	2.13239e-11
   15.74	2.15561e-11
   15.78	2.14625e-11
   15.82	2.13812e-11
   15.86	2.14335e-11
    15.9	2.13745e-11
   15.94	2.11816e-11
   15.98	2.13348e-11
   16.02	2.14414e-11
   16.06	2.15659e-11
    16.1	2.15605e-11
   16.14	2.14427e-11
   16.18	2.16704e-11
   16.22	2.20341e-11
   16.26	2.21063e-11
    16.3	2.2026e-11
   16.34	2.20647e-11
   16.38	2.21967e-11
   16.42	2.19801e-11
   16.46	2.19192e-11
    16.5	2.1987e-11
   16.54	2.21096e-11
   16.58	2.20249e-11
   16.62	2.19803e-11
   16.66	2.19826e-11
    16.7	2.18819e-11
   16.74	2.19829e-11
   16.78	2.18653e-11
   16.82	2.19119e-11
   16.86	2.19491e-11
    16.9	2.20316e-11
   16.94	2.1841e-11
   16.98	2.16097e-11
   17.02	2.16826e-11
   17.06	2.18879e-11
    17.1	2.19289e-11
   17.14	2.21093e-11
   17.18	2.22446e-11
   17.22	2.22637e-11
   17.26	2.21434e-11
    17.3	2.20772e-11
   17.34	2.18415e-11
   17.38	2.2034e-11
   17.42	2.21882e-11
   17.46	2.22033e-11
    17.5	2.20946e-11
   17.54	2.17454e-11
   17.58	2.20271e-11
   17.62	2.20635e-11
   17.66	2.20852e-11
    17.7	2.21213e-11
   17.74	2.20366e-11
   17.78	2.19248e-11
   17.82	2.17965e-11
   17.86	2.15559e-11
    17.9	2.15162e-11
   17.94	2.16067e-11
   17.98	2.16915e-11
   18.02	2.17047e-11
   18.06	2.1791e-11
    18.1	2.18775e-11
   18.14	2.18964e-11
   18.18	2.18334e-11
   18.22	2.18435e-11
   18.26	2.18406e-11
    18.3	2.20081e-11
   18.34	2.19375e-11
   18.38	2.19474e-11
   18.42	2.18398e-11
   18.46	2.19207e-11
    18.5	2.18465e-11
   18.54	2.19017e-11
   18.58	2.16612e-11
   18.62	2.16937e-11
   18.66	2.17382e-11
    18.7	2.15966e-11
   18.74	2.16863e-11
   18.78	2.15971e-11
   18.82	2.16047e-11
   18.86	2.14608e-11
    18.9	2.14903e-11
   18.94	2.16085e-11
   18.98	2.18592e-11
   19.02	2.19244e-11
   19.06	2.1921e-11
    19.1	2.17641e-11
   19.14	2.14703e-11
   19.18	2.13973e-11
   19.22	2.13513e-11
   19.26	2.13058e-11
    19.3	2.1467e-11
   19.34	2.1635e-11
   19.38	2.15904e-11
   19.42	2.14358e-11
   19.46	2.14353e-11
    19.5	2.13847e-11
   19.54	2.13834e-11
   19.58	2.13351e-11
   19.62	2.12984e-11
   19.66	2.13488e-11
    19.7	2.1203e-11
   19.74	2.12559e-11
   19.78	2.12109e-11
   19.82	2.12319e-11
   19.86	2.11895e-11
    19.9	2.10864e-11
   19.94	2.10549e-11
   19.98	2.11445e-11
   20.02	2.11527e-11
   20.06	2.11467e-11
    20.1	2.11704e-11
   20.14	2.10419e-11
   20.18	2.07859e-11
   20.22	2.06189e-11
   20.26	2.05501e-11
    20.3	2.05534e-11
   20.34	2.05961e-11
   20.38	2.04006e-11
   20.42	2.00857e-11
   20.46	1.97912e-11
    20.5	1.97201e-11
   20.54	1.95706e-11
   20.58	1.9433e-11
   20.62	1.92486e-11
   20.66	1.92006e-11
    20.7	1.91585e-11
   20.74	1.88284e-11
   20.78	1.88307e-11
   20.82	1.87763e-11
   20.86	1.88328e-11
    20.9	1.8714e-11
   20.94	1.85625e-11
   20.98	1.8448e-11
   21.02	1.83656e-11
   21.06	1.83434e-11
    21.1	1.81766e-11
   21.14	1.81199e-11
   21.18	1.80362e-11
   21.22	1.77487e-11
   21.26	1.76556e-11
    21.3	1.73971e-11
   21.34	1.74707e-11
   21.38	1.72802e-11
   21.42	1.71851e-11
   21.46	1.7107e-11
    21.5	1.69249e-11
   21.54	1.68462e-11
   21.58	1.6835e-11
   21.62	1.66399e-11
   21.66	1.65931e-11
    21.7	1.63013e-11
   21.74	1.63602e-11
   21.78	1.61518e-11
   21.82	1.60196e-11
   21.86	1.58902e-11
    21.9	1.58056e-11
   21.94	1.56693e-11
   21.98	1.55719e-11
   22.02	1.55724e-11
   22.06	1.55693e-11
    22.1	1.52795e-11
   22.14	1.51859e-11
   22.18	1.51333e-11
   22.22	1.5055e-11
   22.26	1.49879e-11
    22.3	1.4909e-11
   22.34	1.46872e-11
   22.38	1.46924e-11
   22.42	1.46917e-11
   22.46	1.45884e-11
    22.5	1.44745e-11
   22.54	1.4374e-11
   22.58	1.43386e-11
   22.62	1.41e-11
   22.66	1.38657e-11
    22.7	1.3744e-11
   22.74	1.36753e-11
   22.78	1.36144e-11
   22.82	1.36509e-11
   22.86	1.35199e-11
    22.9	1.33295e-11
   22.94	1.3381e-11
   22.98	1.317e-11
   23.02	1.31524e-11
   23.06	1.31661e-11
    23.1	1.31055e-11
   23.14	1.30186e-11
   23.18	1.2909e-11
   23.22	1.26983e-11
   23.26	1.25998e-11
    23.3	1.25291e-11
   23.34	1.24593e-11
   23.38	1.23919e-11
   23.42	1.2266e-11
   23.46	1.22251e-11
    23.5	1.21612e-11
   23.54	1.20284e-11
   23.58	1.19105e-11
   23.62	1.17852e-11
   23.66	1.1745e-11
    23.7	1.15159e-11
   23.74	1.14175e-11
   23.78	1.12932e-11
   23.82	1.11857e-11
   23.86	1.1168e-11
    23.9	1.10824e-11
   23.94	1.11074e-11
   23.98	1.10285e-11
   24.02	1.0987e-11
   24.06	1.08937e-11
    24.1	1.08249e-11
   24.14	1.07157e-11
   24.18	1.06215e-11
   24.22	1.05375e-11
   24.26	1.04717e-11
    24.3	1.03426e-11
   24.34	1.0282e-11
   24.38	1.01236e-11
   24.42	9.93641e-12
   24.46	9.89449e-12
    24.5	9.83481e-12
   24.54	9.87487e-12
   24.58	9.77176e-12
   24.62	9.72249e-12
   24.66	9.59646e-12
    24.7	9.51701e-12
   24.74	9.46713e-12
   24.78	9.34995e-12
   24.82	9.17247e-12
   24.86	9.05597e-12
    24.9	9.03024e-12
   24.94	8.93586e-12
   24.98	8.81662e-12
   25.02	8.84003e-12
   25.06	8.66591e-12
    25.1	8.58501e-12
   25.14	8.51018e-12
   25.18	8.3747e-12
   25.22	8.30343e-12
   25.26	8.35373e-12
    25.3	8.20009e-12
   25.34	8.01701e-12
   25.38	7.97656e-12
   25.42	8.00485e-12
   25.46	7.88644e-12
    25.5	7.7899e-12
   25.54	7.65502e-12
   25.58	7.64219e-12
   25.62	7.52259e-12
   25.66	7.39798e-12
    25.7	7.20279e-12
   25.74	7.18205e-12
   25.78	7.09947e-12
   25.82	7.05064e-12
   25.86	6.8716e-12
    25.9	6.76756e-12
   25.94	6.76087e-12
   25.98	6.72721e-12
   26.02	6.61737e-12
   26.06	6.53843e-12
    26.1	6.49646e-12
   26.14	6.41225e-12
   26.18	6.31599e-12
   26.22	6.18018e-12
   26.26	6.11179e-12
    26.3	6.01996e-12
   26.34	5.91646e-12
   26.38	5.81369e-12
   26.42	5.76659e-12
   26.46	5.70981e-12
    26.5	5.61326e-12
   26.54	5.52025e-12
   26.58	5.4062e-12
   26.62	5.39057e-12
   26.66	5.30291e-12
    26.7	5.28428e-12
   26.74	5.21041e-12
   26.78	5.0981e-12
   26.82	5.01889e-12
   26.86	4.95581e-12
    26.9	4.90076e-12
   26.94	4.80049e-12
   26.98	4.69851e-12
   27.02	4.59082e-12
   27.06	4.51223e-12
    27.1	4.41949e-12
   27.14	4.39018e-12
   27.18	4.35794e-12
   27.22	4.28495e-12
   27.26	4.23921e-12
    27.3	4.23569e-12
   27.34	4.19149e-12
   27.38	4.11805e-12
   27.42	4.02611e-12
   27.46	3.94219e-12
    27.5	3.90194e-12
   27.54	3.79163e-12
   27.58	3.75302e-12
   27.62	3.67713e-12
   27.66	3.61139e-12
    27.7	3.6114e-12
   27.74	3.50892e-12
   27.78	3.36439e-12
   27.82	3.30774e-12
   27.86	3.26499e-12
    27.9	3.23248e-12
   27.94	3.16153e-12
   27.98	3.08381e-12
   28.02	3.00186e-12
   28.06	2.89934e-12
    28.1	2.8284e-12
   28.14	2.75356e-12
   28.18	2.71215e-12
   28.22	2.66751e-12
   28.26	2.61446e-12
    28.3	2.58047e-12
   28.34	2.51015e-12
   28.38	2.43231e-12
   28.42	2.3823e-12
   28.46	2.3577e-12
    28.5	2.27632e-12
   28.54	2.23887e-12
   28.58	2.25596e-12
   28.62	2.1609e-12
   28.66	2.11127e-12
    28.7	2.09886e-12
   28.74	2.0929e-12
   28.78	2.06402e-12
   28.82	2.00174e-12
   28.86	1.94315e-12
    28.9	1.94187e-12
   28.94	1.89788e-12
   28.98	1.86538e-12
   29.02	1.84172e-12
   29.06	1.75892e-12
    29.1	1.71201e-12
   29.14	1.72456e-12
   29.18	1.66221e-12
   29.22	1.65723e-12
   29.26	1.64163e-12
    29.3	1.6016e-12
   29.34	1.5671e-12
   29.38	1.52705e-12
   29.42	1.48757e-12
   29.46	1.44846e-12
    29.5	1.41939e-12
   29.54	1.38475e-12
   29.58	1.35878e-12
   29.62	1.34945e-12
   29.66	1.2939e-12
    29.7	1.28501e-12
   29.74	1.24442e-12
   29.78	1.20707e-12
   29.82	1.18098e-12
   29.86	1.15659e-12
    29.9	1.17321e-12
   29.94	1.14628e-12
   29.98	1.10537e-12
   30.02	1.05458e-12
   30.06	1.02922e-12
    30.1	1.0042e-12
   30.14	9.85001e-13
   30.18	9.71064e-13
   30.22	9.48235e-13
   30.26	9.32992e-13
    30.3	9.05799e-13
   30.34	8.79485e-13
   30.38	8.42251e-13
   30.42	8.29884e-13
   30.46	7.97735e-13
    30.5	7.80255e-13
   30.54	7.58455e-13
   30.58	7.45423e-13
   30.62	7.2928e-13
   30.66	7.17304e-13
    30.7	6.89452e-13
   30.74	6.67982e-13
   30.78	6.37302e-13
   30.82	6.17594e-13
   30.86	5.9662e-13
    30.9	5.78397e-13
   30.94	5.56074e-13
   30.98	5.41668e-13
   31.02	5.26722e-13
   31.06	5.07879e-13
    31.1	4.92452e-13
   31.14	4.83245e-13
   31.18	4.89765e-13
   31.22	4.8734e-13
   31.26	4.65062e-13
    31.3	4.47726e-13
   31.34	4.11616e-13
   31.38	4.12632e-13
   31.42	4.02839e-13
   31.46	3.83356e-13
    31.5	3.73303e-13
   31.54	3.6912e-13
   31.58	3.73029e-13
   31.62	3.63467e-13
   31.66	3.51005e-13
    31.7	3.30789e-13
   31.74	2.91527e-13
   31.78	2.81131e-13
   31.82	2.87076e-13
   31.86	2.76683e-13
    31.9	2.85906e-13
   31.94	2.74662e-13
   31.98	2.57782e-13
   32.02	2.50887e-13
   32.06	2.30274e-13
    32.1	2.16988e-13
   32.14	2.09688e-13
   32.18	1.97269e-13
   32.22	1.89055e-13
   32.26	1.85042e-13
    32.3	1.82983e-13
   32.34	1.74241e-13
   32.38	1.67236e-13
   32.42	1.57339e-13
   32.46	1.49247e-13
    32.5	1.46819e-13
   32.54	1.33794e-13
   32.58	1.29236e-13
   32.62	1.28976e-13
   32.66	1.20179e-13
    32.7	1.212e-13
   32.74	1.08535e-13
   32.78	1.05942e-13
   32.82	1.02842e-13
   32.86	1.02123e-13
    32.9	9.56252e-14
   32.94	8.83086e-14
   32.98	8.43211e-14
   33.02	8.5857e-14
   33.06	7.98403e-14
    33.1	6.84644e-14
   33.14	6.57115e-14
   33.18	5.53371e-14
   33.22	4.75534e-14
   33.26	4.95299e-14
    33.3	4.46941e-14
   33.34	4.49201e-14
   33.38	3.82121e-14
   33.42	3.62867e-14
   33.46	3.49105e-14
    33.5	3.14529e-14
   33.54	2.76086e-14
   33.58	2.517e-14
   33.62	2.27295e-14
   33.66	1.68182e-14
    33.7	1.58398e-14
   33.74	1.45142e-14
   33.78	1.49435e-14
   33.82	1.43003e-14
   33.86	1.13855e-14
    33.9	1.07272e-14
   33.94	1.0807e-14
   33.98	9.85853e-15
   34.02	1.10631e-14
   34.06	8.20295e-15
    34.1	6.76668e-15
   34.14	5.02584e-15
   34.18	3.50015e-15
   34.22	3.24024e-15
   34.26	3.18116e-15
    34.3	1.6447e-15
   34.34	6.08915e-16
   34.38	3.70894e-16
   34.42	2.99854e-16
   34.46	6.87428e-16
    34.5	5.52478e-16
   34.54	5.51199e-16
   34.58	1.76987e-16
   34.62	8.82892e-17
   34.66	       0
    34.7	       0
   34.74	       0
   34.78	       0
   34.82	       0
   34.86	       0
    34.9	       0
   34.94	       0
   34.98	       0
   35.02	       0
   35.06	       0
    35.1	       0
   35.14	       0
   35.18	       0
   35.22	       0
   35.26	       0
    35.3	       0
   35.34	       0
   35.38	       0
   35.42	       0
   35.46	       0
    35.5	       0
   35.54	       0
   35.58	       0
   35.62	       0
   35.66	       0
    35.7	       0
   35.74	       0
   35.78	       0
   35.82	       0
   35.86	       0
    35.9	       0
   35.94	       0
   35.98	       0
   36.02	       0
   36.06	       0
    36.1	       0
   36.14	       0
   36.18	       0
   36.22	       0
   36.26	       0
    36.3	       0
   36.34	       0
   36.38	       0
   36.42	       0
   36.46	       0
    36.5	       0
   36.54	       0
   36.58	       0
   36.62	       0
   36.66	       0
    36.7	       0
   36.74	       0
   36.78	       0
   36.82	       0
   36.86	       0
    36.9	       0
   36.94	       0
   36.98	       0
   37.02	       0
   37.06	       0
    37.1	       0
   37.14	       0
   37.18	       0
   37.22	       0
   37.26	       0
    37.3	       0
   37.34	       0
   37.38	       0
   37.42	       0
   37.46	       0
    37.5	       0
   37.54	       0
   37.58	       0
   37.62	       0
   37.66	       0
    37.7	       0
   37.74	       0
   37.78	       0
   37.82	       0
   37.86	       0
    37.9	       0
   37.94	       0
   37.98	       0
   38.02	       0
   38.06	       0
    38.1	       0
   38.14	       0
   38.18	       0
   38.22	       0
   38.26	       0
    38.3	       0
   38.34	       0
   38.38	       0
   38.42	       0
   38.46	       0
    38.5	       0
   38.54	       0
   38.58	       0
   38.62	       0
   38.66	       0
    38.7	       0
   38.74	       0
   38.78	       0
   38.82	       0
   38.86	       0
    38.9	       0
   38.94	       0
   38.98	       0
   39.02	       0
   39.06	       0
    39.1	       0
   39.14	       0
   39.18	       0
   39.22	       0
   39.26	       0
    39.3	       0
   39.34	       0
   39.38	       0
   39.42	       0
   39.46	       0
    39.5	       0
   39.54	       0
   39.58	       0
   39.62	       0
   39.66	       0
    39.7	       0
   39.74	       0
   39.78	       0
   39.82	       0
   39.86	       0
    39.9	       0
   39.94	       0
   39.98	       0
